time_sec,throttle,altitude,rpm,cht,egt,egt_1,egt_2,egt_3,egt_4,oil_pressure,oil_temp,fuel_flow,battery_voltage,vibration_index,engine_load,injection_timing
83.0,0.9,3416.67,5025.33,203.71,799.16,799.16,799.16,799.16,799.16,84.68,116.5,31.18,13.98,0.0474,0.8223,31.31
84.0,0.9,3458.33,5023.91,203.8,799.07,799.07,799.07,799.07,799.07,84.66,116.51,31.17,13.98,0.0474,0.8221,31.31
85.0,0.9,3500.0,5022.49,203.9,798.98,798.98,798.98,798.98,798.98,84.64,116.52,31.16,13.98,0.0474,0.8219,31.31
86.0,0.9,3541.67,5021.08,203.98,798.89,798.89,798.89,798.89,798.89,84.63,116.53,31.14,13.98,0.0474,0.8216,31.3
87.0,0.9,3583.33,5019.66,204.06,798.8,798.8,798.8,798.8,798.8,84.61,116.53,31.13,13.98,0.0474,0.8214,31.3
88.0,0.9,3625.0,5018.24,204.14,798.71,798.71,798.71,798.71,798.71,84.59,116.54,31.12,13.98,0.0474,0.8212,31.3
89.0,0.9,3666.67,5016.83,204.21,798.62,798.62,798.62,798.62,798.62,84.58,116.54,31.11,13.98,0.0474,0.8209,31.3
90.0,0.9,3708.33,5015.41,204.28,798.52,798.52,798.52,798.52,798.52,84.56,116.54,31.09,13.98,0.0474,0.8207,31.3
91.0,0.9,3750.0,5013.99,204.34,798.43,798.43,798.43,798.43,798.43,84.54,116.54,31.08,13.98,0.0473,0.8205,31.29
92.0,0.9,3791.67,5012.58,204.4,798.34,798.34,798.34,798.34,798.34,84.53,116.54,31.07,13.97,0.0473,0.8202,31.29
93.0,0.9,3833.33,5011.16,204.45,798.25,798.25,798.25,798.25,798.25,84.51,116.53,31.06,13.97,0.0473,0.82,31.29
94.0,0.9,3875.0,5009.74,204.5,798.16,798.16,798.16,798.16,798.16,84.49,116.53,31.04,13.97,0.0473,0.8198,31.29
95.0,0.9,3916.67,5008.33,204.55,798.07,798.07,798.07,798.07,798.07,84.48,116.52,31.03,13.97,0.0473,0.8195,31.28
96.0,0.9,3958.33,5006.91,204.59,797.98,797.98,797.98,797.98,797.98,84.46,116.52,31.02,13.97,0.0473,0.8193,31.28
97.0,0.9,4000.0,5005.49,204.63,797.89,797.89,797.89,797.89,797.89,84.44,116.51,31.01,13.97,0.0473,0.8191,31.28
98.0,0.9,4041.67,5004.08,204.67,797.79,797.79,797.79,797.79,797.79,84.43,116.5,30.99,13.97,0.0473,0.8188,31.28
99.0,0.9,4083.33,5002.66,204.7,797.7,797.7,797.7,797.7,797.7,84.41,116.49,30.98,13.97,0.0473,0.8186,31.28
100.0,0.9,4125.0,5001.24,204.73,797.61,797.61,797.61,797.61,797.61,84.39,116.48,30.97,13.97,0.0473,0.8184,31.27
101.0,0.9,4166.67,4999.83,204.76,797.52,797.52,797.52,797.52,797.52,84.38,116.47,30.96,13.97,0.0473,0.8182,31.27
102.0,0.9,4208.33,4998.41,204.78,797.43,797.43,797.43,797.43,797.43,84.36,116.46,30.94,13.97,0.0473,0.8179,31.27
103.0,0.9,4250.0,4996.99,204.8,797.34,797.34,797.34,797.34,797.34,84.34,116.44,30.93,13.97,0.0473,0.8177,31.27
104.0,0.9,4291.67,4995.58,204.82,797.25,797.25,797.25,797.25,797.25,84.33,116.43,30.92,13.97,0.0472,0.8175,31.27
105.0,0.9,4333.33,4994.16,204.84,797.15,797.15,797.15,797.15,797.15,84.31,116.42,30.91,13.97,0.0472,0.8172,31.26
106.0,0.9,4375.0,4992.74,204.85,797.06,797.06,797.06,797.06,797.06,84.29,116.4,30.89,13.97,0.0472,0.817,31.26
107.0,0.9,4416.67,4991.33,204.86,796.97,796.97,796.97,796.97,796.97,84.28,116.39,30.88,13.97,0.0472,0.8168,31.26
108.0,0.9,4458.33,4989.91,204.87,796.88,796.88,796.88,796.88,796.88,84.26,116.37,30.87,13.97,0.0472,0.8165,31.26
109.0,0.9,4500.0,4988.49,204.88,796.79,796.79,796.79,796.79,796.79,84.24,116.35,30.86,13.97,0.0472,0.8163,31.26
110.0,0.9,4541.67,4987.08,204.89,796.7,796.7,796.7,796.7,796.7,84.23,116.34,30.84,13.97,0.0472,0.8161,31.25
111.0,0.9,4583.33,4985.66,204.89,796.6,796.6,796.6,796.6,796.6,84.21,116.32,30.83,13.97,0.0472,0.8158,31.25
112.0,0.9,4625.0,4984.24,204.89,796.51,796.51,796.51,796.51,796.51,84.19,116.3,30.82,13.96,0.0472,0.8156,31.25
113.0,0.9,4666.67,4982.83,204.89,796.42,796.42,796.42,796.42,796.42,84.18,116.28,30.81,13.96,0.0472,0.8154,31.25
114.0,0.9,4708.33,4981.41,204.89,796.33,796.33,796.33,796.33,796.33,84.16,116.26,30.79,13.96,0.0472,0.8151,31.25
115.0,0.9,4750.0,4979.99,204.88,796.24,796.24,796.24,796.24,796.24,84.14,116.24,30.78,13.96,0.0472,0.8149,31.24
116.0,0.9,4791.67,4978.58,204.88,796.15,796.15,796.15,796.15,796.15,84.13,116.22,30.77,13.96,0.0472,0.8147,31.24
117.0,0.9,4833.33,4977.16,204.87,796.05,796.05,796.05,796.05,796.05,84.11,116.2,30.76,13.96,0.0471,0.8144,31.24
118.0,0.9,4875.0,4975.74,204.86,795.96,795.96,795.96,795.96,795.96,84.09,116.18,30.74,13.96,0.0471,0.8142,31.24
119.0,0.9,4916.67,4974.33,204.85,795.87,795.87,795.87,795.87,795.87,84.08,116.16,30.73,13.96,0.0471,0.814,31.24
120.0,0.9,4958.33,4972.91,204.84,795.78,795.78,795.78,795.78,795.78,84.06,116.14,30.72,13.96,0.0471,0.8137,31.23
121.0,0.9,5000.0,4971.49,204.82,795.69,795.69,795.69,795.69,795.69,84.04,116.12,30.71,13.96,0.0471,0.8135,31.23
122.0,0.9,5010.42,4969.44,204.81,795.57,795.57,795.57,795.57,795.57,84.02,116.1,30.69,13.96,0.0471,0.8126,31.23
123.0,0.9,5020.83,4967.06,204.79,795.43,795.43,795.43,795.43,795.43,84.0,116.07,30.67,13.96,0.0471,0.8117,31.22
124.0,0.9,5031.25,4964.5,204.77,795.27,795.27,795.27,795.27,795.27,83.97,116.05,30.65,13.96,0.0471,0.8107,31.22
125.0,0.9,5041.67,4961.86,204.75,795.1,795.1,795.1,795.1,795.1,83.94,116.02,30.63,13.96,0.0471,0.8097,31.22
126.0,0.9,5052.08,4959.18,204.72,794.91,794.91,794.91,794.91,794.91,83.91,116.0,30.61,13.96,0.0471,0.8087,31.21
127.0,0.9,5062.5,4956.47,204.69,794.71,794.71,794.71,794.71,794.71,83.88,115.97,30.59,13.96,0.047,0.8077,31.21
128.0,0.9,5072.92,4953.75,204.67,794.49,794.49,794.49,794.49,794.49,83.85,115.94,30.57,13.96,0.047,0.8067,31.21
129.0,0.9,5083.33,4951.03,204.64,794.26,794.26,794.26,794.26,794.26,83.82,115.91,30.55,13.95,0.047,0.8057,31.2
130.0,0.89,5093.75,4948.3,204.6,794.03,794.03,794.03,794.03,794.03,83.79,115.88,30.53,13.95,0.047,0.8047,31.2
131.0,0.89,5104.17,4945.56,204.57,793.79,793.79,793.79,793.79,793.79,83.76,115.85,30.51,13.95,0.047,0.8037,31.19
132.0,0.89,5114.58,4942.83,204.53,793.53,793.53,793.53,793.53,793.53,83.72,115.82,30.49,13.95,0.047,0.8026,31.19
133.0,0.89,5125.0,4940.1,204.49,793.28,793.28,793.28,793.28,793.28,83.69,115.79,30.46,13.95,0.0469,0.8016,31.19
134.0,0.89,5135.42,4937.36,204.46,793.02,793.02,793.02,793.02,793.02,83.66,115.76,30.44,13.95,0.0469,0.8006,31.18
135.0,0.89,5145.83,4934.63,204.42,792.75,792.75,792.75,792.75,792.75,83.63,115.73,30.42,13.95,0.0469,0.7996,31.18
136.0,0.89,5156.25,4931.89,204.37,792.48,792.48,792.48,792.48,792.48,83.6,115.7,30.4,13.95,0.0469,0.7986,31.17
137.0,0.89,5166.67,4929.15,204.33,792.2,792.2,792.2,792.2,792.2,83.56,115.66,30.38,13.95,0.0469,0.7976,31.17
138.0,0.89,5177.08,4926.42,204.28,791.92,791.92,791.92,791.92,791.92,83.53,115.63,30.36,13.95,0.0469,0.7966,31.17
139.0,0.89,5187.5,4923.68,204.24,791.64,791.64,791.64,791.64,791.64,83.5,115.59,30.34,13.95,0.0469,0.7956,31.16
140.0,0.89,5197.92,4920.94,204.19,791.35,791.35,791.35,791.35,791.35,83.47,115.56,30.32,13.95,0.0468,0.7946,31.16
141.0,0.89,5208.33,4918.2,204.14,791.07,791.07,791.07,791.07,791.07,83.43,115.52,30.3,13.95,0.0468,0.7936,31.15
142.0,0.89,5218.75,4915.46,204.09,790.78,790.78,790.78,790.78,790.78,83.4,115.49,30.28,13.95,0.0468,0.7926,31.15
143.0,0.89,5229.17,4912.72,204.04,790.49,790.49,790.49,790.49,790.49,83.37,115.45,30.26,13.94,0.0468,0.7916,31.15
144.0,0.89,5239.58,4909.98,203.99,790.19,790.19,790.19,790.19,790.19,83.34,115.42,30.24,13.94,0.0468,0.7906,31.14
145.0,0.89,5250.0,4907.24,203.94,789.9,789.9,789.9,789.9,789.9,83.3,115.38,30.22,13.94,0.0468,0.7896,31.14
146.0,0.88,5260.42,4904.5,203.88,789.61,789.61,789.61,789.61,789.61,83.27,115.34,30.2,13.94,0.0468,0.7886,31.13
147.0,0.88,5270.83,4901.76,203.83,789.31,789.31,789.31,789.31,789.31,83.24,115.31,30.18,13.94,0.0467,0.7876,31.13
148.0,0.88,5281.25,4899.02,203.77,789.01,789.01,789.01,789.01,789.01,83.21,115.27,30.16,13.94,0.0467,0.7866,31.13
149.0,0.88,5291.67,4896.27,203.72,788.71,788.71,788.71,788.71,788.71,83.17,115.23,30.13,13.94,0.0467,0.7856,31.12
150.0,0.88,5302.08,4893.53,203.66,788.41,788.41,788.41,788.41,788.41,83.14,115.19,30.11,13.94,0.0467,0.7846,31.12
151.0,0.88,5312.5,4890.79,203.6,788.11,788.11,788.11,788.11,788.11,83.11,115.15,30.09,13.94,0.0467,0.7836,31.11
152.0,0.88,5322.92,4888.04,203.54,787.81,787.81,787.81,787.81,787.81,83.08,115.12,30.07,13.94,0.0467,0.7826,31.11
153.0,0.88,5333.33,4885.3,203.48,787.51,787.51,787.51,787.51,787.51,83.04,115.08,30.05,13.94,0.0466,0.7816,31.11
154.0,0.88,5343.75,4882.55,203.42,787.21,787.21,787.21,787.21,787.21,83.01,115.04,30.03,13.94,0.0466,0.7807,31.1
155.0,0.88,5354.17,4879.8,203.36,786.91,786.91,786.91,786.91,786.91,82.98,115.0,30.01,13.94,0.0466,0.7797,31.1
156.0,0.88,5364.58,4877.06,203.3,786.61,786.61,786.61,786.61,786.61,82.94,114.96,29.99,13.94,0.0466,0.7787,31.09
157.0,0.88,5375.0,4874.31,203.24,786.31,786.31,786.31,786.31,786.31,82.91,114.92,29.97,13.94,0.0466,0.7777,31.09
158.0,0.88,5385.42,4871.56,203.18,786.0,786.0,786.0,786.0,786.0,82.88,114.88,29.95,13.93,0.0466,0.7767,31.09
159.0,0.88,5395.83,4868.82,203.11,785.7,785.7,785.7,785.7,785.7,82.85,114.84,29.93,13.93,0.0466,0.7757,31.08
160.0,0.88,5406.25,4866.07,203.05,785.4,785.4,785.4,785.4,785.4,82.81,114.8,29.91,13.93,0.0465,0.7747,31.08
161.0,0.88,5416.67,4863.32,202.99,785.09,785.09,785.09,785.09,785.09,82.78,114.76,29.89,13.93,0.0465,0.7737,31.07
162.0,0.87,5427.08,4860.57,202.92,784.79,784.79,784.79,784.79,784.79,82.75,114.72,29.87,13.93,0.0465,0.7727,31.07
163.0,0.87,5437.5,4857.82,202.85,784.48,784.48,784.48,784.48,784.48,82.72,114.68,29.85,13.93,0.0465,0.7717,31.07
164.0,0.87,5447.92,4855.07,202.79,784.18,784.18,784.18,784.18,784.18,82.68,114.64,29.83,13.93,0.0465,0.7707,31.06
165.0,0.87,5458.33,4852.32,202.72,783.88,783.88,783.88,783.88,783.88,82.65,114.6,29.8,13.93,0.0465,0.7698,31.06
166.0,0.87,5468.75,4849.56,202.66,783.57,783.57,783.57,783.57,783.57,82.62,114.56,29.78,13.93,0.0465,0.7688,31.05
167.0,0.87,5479.17,4846.81,202.59,783.27,783.27,783.27,783.27,783.27,82.58,114.52,29.76,13.93,0.0464,0.7678,31.05
168.0,0.87,5489.58,4844.06,202.52,782.96,782.96,782.96,782.96,782.96,82.55,114.48,29.74,13.93,0.0464,0.7668,31.05
169.0,0.87,5500.0,4841.31,202.45,782.66,782.66,782.66,782.66,782.66,82.52,114.44,29.72,13.93,0.0464,0.7658,31.04
170.0,0.87,5510.42,4838.55,202.38,782.35,782.35,782.35,782.35,782.35,82.49,114.39,29.7,13.93,0.0464,0.7648,31.04
171.0,0.87,5520.83,4835.8,202.32,782.05,782.05,782.05,782.05,782.05,82.45,114.35,29.68,13.93,0.0464,0.7638,31.03
172.0,0.87,5531.25,4833.04,202.25,781.74,781.74,781.74,781.74,781.74,82.42,114.31,29.66,13.92,0.0464,0.7629,31.03
173.0,0.87,5541.67,4830.29,202.18,781.44,781.44,781.44,781.44,781.44,82.39,114.27,29.64,13.92,0.0463,0.7619,31.03
174.0,0.87,5552.08,4827.53,202.11,781.13,781.13,781.13,781.13,781.13,82.35,114.23,29.62,13.92,0.0463,0.7609,31.02
175.0,0.87,5562.5,4824.77,202.04,780.83,780.83,780.83,780.83,780.83,82.32,114.19,29.6,13.92,0.0463,0.7599,31.02
176.0,0.87,5572.92,4822.02,201.97,780.52,780.52,780.52,780.52,780.52,82.29,114.15,29.58,13.92,0.0463,0.7589,31.01
177.0,0.86,5583.33,4819.26,201.9,780.22,780.22,780.22,780.22,780.22,82.25,114.1,29.56,13.92,0.0463,0.7579,31.01
178.0,0.86,5593.75,4816.5,201.82,779.91,779.91,779.91,779.91,779.91,82.22,114.06,29.54,13.92,0.0463,0.757,31.01
179.0,0.86,5604.17,4813.74,201.75,779.61,779.61,779.61,779.61,779.61,82.19,114.02,29.52,13.92,0.0463,0.756,31.0
180.0,0.86,5614.58,4810.98,201.68,779.3,779.3,779.3,779.3,779.3,82.16,113.98,29.5,13.92,0.0462,0.755,31.0
181.0,0.86,5625.0,4808.22,201.61,779.0,779.0,779.0,779.0,779.0,82.12,113.94,29.47,13.92,0.0462,0.754,30.99
182.0,0.86,5635.42,4805.46,201.54,778.69,778.69,778.69,778.69,778.69,82.09,113.9,29.45,13.92,0.0462,0.753,30.99
183.0,0.86,5645.83,4802.7,201.47,778.39,778.39,778.39,778.39,778.39,82.06,113.85,29.43,13.92,0.0462,0.7521,30.99
184.0,0.86,5656.25,4799.94,201.39,778.08,778.08,778.08,778.08,778.08,82.02,113.81,29.41,13.92,0.0462,0.7511,30.98
185.0,0.86,5666.67,4797.18,201.32,777.77,777.77,777.77,777.77,777.77,81.99,113.77,29.39,13.92,0.0462,0.7501,30.98
186.0,0.86,5677.08,4794.42,201.25,777.47,777.47,777.47,777.47,777.47,81.96,113.73,29.37,13.91,0.0462,0.7491,30.97
187.0,0.86,5687.5,4791.66,201.17,777.16,777.16,777.16,777.16,777.16,81.92,113.69,29.35,13.91,0.0461,0.7482,30.97
188.0,0.86,5697.92,4788.89,201.1,776.86,776.86,776.86,776.86,776.86,81.89,113.64,29.33,13.91,0.0461,0.7472,30.97
189.0,0.86,5708.33,4786.13,201.03,776.55,776.55,776.55,776.55,776.55,81.86,113.6,29.31,13.91,0.0461,0.7462,30.96
190.0,0.86,5718.75,4783.36,200.95,776.25,776.25,776.25,776.25,776.25,81.82,113.56,29.29,13.91,0.0461,0.7452,30.96
191.0,0.86,5729.17,4780.6,200.88,775.94,775.94,775.94,775.94,775.94,81.79,113.52,29.27,13.91,0.0461,0.7443,30.95
192.0,0.86,5739.58,4777.83,200.81,775.64,775.64,775.64,775.64,775.64,81.76,113.48,29.25,13.91,0.0461,0.7433,30.95
